,product_id,category,class,closure,color,dry_clean_only,embellishment,exposure,fit,gender,height,leg_style,length,material,neckline,occasion,pattern,print,rise,shape,sheer,sizing,strap,style,toe_style,trend,wash,width
0,01DMBRYVA2P5H24WK0HTK4R0A1,bottom,,,beige,,,,,,,,,,,,,,,,,,,,,,,
1,01DMBRYVA2PEPWFTT7RMP5AA1T,"blazers, coats, jacket",,,,,,,,,,,,,,,,,,,,,,,,,,
2,01DMBRYVA2Q2ST7MNYR6EEY4TK,one piece,,,,,,,,,,,,,,,,,,,,,,,,,,
3,01DMBRYVA2S5T9W793F4CY41HE,"handbag,accessory",,,,,,,,,,,,,,,,,,,,,,,,,,
4,01DMBRYVA2ZFDYRYY5TRQZJTBD,shoe,,,,,,,,,,,,,,,,,,,,,,,,,,
5,01DMHCNT41E14QWP503V7CT9G6,"handbag,accessory",,,,,,,,,,,,,,,,,,,,,,,,,,
6,01DPC6Z5K3ZB8KZ0M6YW7Z4JX8,sweater,,,,,,,,,,,,,,,,,,,,,,,,,,
7,01DPC8AMPE4CZHMJETF1Q8VEN0,"blazers, coats, jacket",,,,,,,,,,,,,,,,,,,,,,,,,,
8,01DPC9GSTT72KHNN0MNDNKH7RD,"handbag,accessory",tote bag,"clasp,magnetic","burgundy,light brown,black",,,,,woman,,,,leather,,"day tonight,work",,,,,,,leather,"business casual,classic",,,,
9,01DPC9XNR3XBH3HAAQYGYKRJ5H,one piece,,,,,,,,,,,,,,,,,,,,,,,,,,
10,01DPCB2KEAVXXKFVM7FXBNE4VY,"shoe,boot,booty",lace up,lace,"black,dark brown",,,,,woman,"low,ankle",,,suede,,"day tonight,work,weekend",,,,kitten,,,,"boho,modern",pointed toe,,,medium
11,01DPCDEF6SYX2E1NT5X7HJBFGY,"scarves, wrap,accessory",,,"black,pink,gray,green,burgundy,beige",,,,,woman,,,,pure cashmere,,,,,,,,,,classic,,,,
12,01DPCG1C1P0MQAV9NMS3N1TDAA,"dress,one piece","sheath,drop waist",buttoned back,"pink,black,multi,green",yes,"embroidery,mesh",,semifitted,woman,,,"sleeveless,knee length",synthetic,high neck,"night out,weekend",floral,,,,semisheer,regular,,"romantic,glam",,,,
13,01DPCHNEW5F2RHJQ3NJMVPK6SE,"pullover,sweater",,,"gray,black,gold,navy,burgundy,blue,pink",yes,,,relaxed,woman,,,"long sleeve,mid length at hip",pure cashmere,high neck,"day tonight,weekend,work",,,,,,regular,,"classic,androgynous,casual,business casual",,,,
14,01DPCHNQM0PA0SXZZZX85PF2ZJ,"pants, legging,bottom",denim jean,zip fly with button,blue,no,,,"straight regular,relaxed",woman,,slim,"ankle,cropped",denim,,"day tonight,weekend",,,"mid 89,high over 9",,,regular,,"casual,classic",,raw hem,light blue,
15,01DPCQ0CNKKHD3899ZEY9SEDHA,"button down,top",,buttoned front,"black,white,blue",no,,,straight regular,woman,,,"mid length at hip,long sleeve","cotton blend,spandex",collared,"day tonight,work",stripe vertical,,,,,regular,,business casual,,,,
16,01DPCRZWX4S2Z8Q5HYDFM4HNEG,"flat,shoe",,,"black,light brown",,,,,woman,,,,suede,,"work,day tonight",,,,,,,,"business casual,classic",pointed toe,,,medium
17,01DPCWEJRBVWZE397FMF9QXBBY,one piece,,,,,,,,,,,,,,,,,,,,,,,,,,
18,01DPCWRYQMHRAG7NJ3Q5JJMT42,"shoe,pump heel",,,"black,pink,navy",,,,,woman,medium,,,suede,,"work,day tonight",,,,stiletto,,,,"classic,business casual",pointed toe,,,medium
19,01DPCXVC45EFA5ZYKAXT412KG1,"blazers, coats, jacket,jacket",moto,zipper,"black,green",,,,semifitted,woman,,,"long sleeve,cropped above waistline",leather,,"day tonight,night out,weekend",,,,,,regular,,"modern,edgy,androgynous",,,,
20,01DPCYE6AKJFKJSNCBDTQFG52Y,"shoe,sneaker athletic","lace top,tennis",lace,"white,gray,navy,light brown,green",,,,,woman,,,,leather,,"weekend,day tonight",logo,,,,,,,"modern,classic,casual",closed toe,,,medium
21,01DPCZ5DTE59VBYD9NWNSZKC40,"flat,shoe",slide,none,pink,,,,,woman,,,,silk,,"work,day tonight",,,,,,,,"modern,business casual",pointed toe,,,medium
22,01DPD1R0F6Z4EJCPNDKPAG5DPF,"bottom,pants, legging","trouser,5 pocket pant non denim",zip fly with hook,black,yes,trim,,semifitted,woman,,wide leg,regular,"polyester,viscose",,"work,weekend",,,high over 9,,,regular,,"edgy,business casual,modern",,,,
23,01DPD2FGA0FWFXJCKMT5QBJYHK,"bottom,skirt",body con,back zip,"multi,blue,pink,green,white,black",yes,ruffle,,fitted tailored,woman,,,mini mid thigh and above,"silk blend,spandex",,"weekend,day tonight",floral,,,,,regular,,"casual,romantic,glam",,,,
24,01DPD2FYRJG5WKXX8HEKRN9J9B,"button down,top",,buttoned front,white,yes,,,relaxed,woman,,,"short sleeve,short at waistline",silk blend,collared,"weekend,day tonight",,,,,,regular,,"casual,classic,retro",,,,
25,01DPD2GDFTFSPPDSNPFQ0W3PQ7,"wrap,blouse,top",,wrap,beige,yes,,,relaxed,woman,,,"long sleeve,mid length at hip","rayon,viscose",vneck,"weekend,day tonight",floral,,,,,regular,,"modern,boho",,,,
26,01DPD2JCXH4NYQTRPJA6T6VGA9,"shoe,booty",dress,zipper,"black,dark brown",,,,,woman,high,,,leather,,"weekend,night out",animal,,,stiletto,,,,"modern,glam,edgy",pointed toe,,,medium
27,01DPD2MH54WBM1PCZAJTQ91S1Y,"tee,top",,,black,no,,,relaxed,woman,,,"short sleeve,mid length at hip","cotton blend,polyester",crew neck,"weekend,day tonight",,,,,,regular,,"classic,casual,modern",,,,
28,01DPD350MSFXMW7S524JKEN2TY,"shoe,booty",dress,zipper,"light brown,black",,,,,woman,low,,,suede,,"day tonight,work",,,,stiletto,,,,"business casual,modern",pointed toe,,,medium
29,01DPD3AGTNRNAKNP8TH9WYG35X,"blazers, coats, jacket,blazer",double breasted,buttoned front,"beige,navy",yes,trim,,relaxed,woman,,,"mid length at hip,long sleeve","elastane,cotton blend",,"work,day tonight",plaid,,,,,regular,,"classic,modern,business casual",,,,
30,01DPD3EY7GVQ19WQR7P0K4BAZA,top,,,,,,,,,,,,,,,,,,,,,,,,,,
31,01DPD3J095SRERSPGGYX9FFRKX,"top,blouse",,tieback,"pink,black",,,,relaxed,woman,,,"mid length at hip,sleeveless",,mock neck,"work,day tonight",,,,,,regular,,"business casual,classic",,,,
32,01DPD4R5X5TQCWTVTC2AEAFC10,"dress,one piece",casual dress,,"navy,yellow",yes,ruffle,,relaxed,woman,,,"long sleeve,short above the knee",pure silk,vneck,"weekend,vacation,day tonight",floral,,,,,regular,,"casual,boho",,,,
33,01DPD7KN5438Z6VNZKFTTGY34G,"bottom,pants, legging",trouser,back zip,white,yes,,,semifitted,woman,,slim,ankle,"polyester,viscose",,"day tonight,work",,,high over 9,,,regular,,"modern,business casual,classic",,,,
34,01DPD8C9XN7MQSHSSTKTCZZN1N,"handbag,accessory","shoulder bag,cross body bag","magnetic,flap","beige,black,dark brown",,,,,woman,,,,,,"day tonight,weekend",animal,,,,,,metal,"casual,modern",,,,
35,01DPD9MVZAPGVX5P3AY7Y53X9V,"shoe,pump heel",ankle trap,ankle trap,"beige,black,gray",,,,,woman,medium,,,leather,,"night out,weekend",animal,,,cone,,,,"modern,glam",open toe,,,medium
36,01DPDVGJABJVQ3S3DA3TJRD1R7,"handbag,accessory",satchel,zip up,"dark brown,light brown,beige",,,,,woman,,,,leather,,"day tonight,weekend,vacation",,,,,,,leather,"casual,classic,boho",,,,
37,01DPEB8HX0GK7A07QADNB52404,sweater,,,,,,,,,,,,,,,,,,,,,,,,,,
38,01DPEEZGRJYX4N4WE78GPM0B2G,"shoe,booty",dress,zipper,dark brown,,,,,woman,medium,,,suede,,"day tonight,weekend,work",,,,block,,,,"classic,modern,business casual",closed toe,,,medium
39,01DPEHS0XH9PDD1GH5ZE4P43A2,accessory,,,,,,,,,,,,,,,,,,,,,,,,,,
40,01DPEKHK88KWY43K7YKC3TPZAJ,"shoe,booty",dress,zipper,dark brown,,,,,woman,medium,,,suede,,"day tonight,work",,,,block,,,,"business casual,classic,modern",pointed toe,,,medium
41,01DPEKV85WAW39XWK1WHXZS96Z,"scarves, wrap,accessory",,,beige,,,,,woman,,,,synthetic,,"day tonight,weekend",,,,,,,,"classic,casual",,,,
42,01DPEN84F0EDT38ZX9H8R6ZTYN,"sandal,shoe",ankle trap,ankle trap,silver,,,,,woman,flat,,,leather,,"day tonight,weekend,vacation",,,,,,,,"boho,edgy,casual,classic",open toe,,,medium
43,01DPEQS48Z0CDFW58A4NK19CB4,"shoe,pump heel",slingback,none,white,,,,,woman,medium,,,leather,,"day tonight,work",,,,block,,,,"retro,business casual,classic",pointed toe,,,medium
44,01DPER1BXHZNAE3BAF7J88ZWNK,"scarves, wrap,accessory",,,"navy,multi",,trim,,,woman,,,,,,"day tonight,weekend",stripe vertical,,,,,,,"boho,classic,casual",,,,
45,01DPER5W0953YAH19AA4XDV00F,"tee,top",,halfway buttoned,"white,pink,navy",no,,,semifitted,woman,,,"mid length at hip,short sleeve","cotton blend,synthetic",henley,"day tonight,weekend",stripe horizontal,,,,,regular,,"androgynous,casual,classic",,,,
46,01DPER92JE6VQ6MBA6T7SC4HTK,"shoe,sneaker athletic","low top,lace top",lace,"white,black,multi,dark brown",,,,,woman,,,,leather,,"weekend,day tonight",animal,,,,,,,"casual,athleisure",closed toe,,,medium
47,01DPER9H4NMHGZXJTCWKN79N53,"shoe,mule slide",slide,none,gold,,,,,woman,medium,,,leather,,,,,,block,,,,"romantic,modern,classic,casual",open toe,,,medium
48,01DPERKES7R7ZJCJ9HYWKTS528,"pump heel,shoe",Mary Jane,ankle trap,gold,,,,,woman,high,,,synthetic,,"day tonight,weekend",,,,block,,,,"modern,romantic",closed toe,,,medium
49,01DPES95BX86GKMS1ZSJP1CS83,"bottom,pants, legging",denim jean,,black,no,,,fitted tailored,woman,,skinny,ankle,"denim,cotton blend",,"day tonight,night out,work,weekend",,,mid 89,,,regular,,"business casual,modern,edgy,classic",,clean,black,
50,01DPES9EZ3AWYQH0HYXHGW1T1N,"pump heel,shoe",,none,"white,beige,black",,,,,woman,medium,,,leather,,"day tonight,night out,work,weekend",animal,,,stiletto,,,,"business casual,modern,edgy",pointed toe,,,medium
51,01DPESC70Q027MGKH56D1JNJHX,"one piece,jumpsuit",Aline,wrap,blue,no,,,semifitted,woman,,,"sleeveless,midi mid calf","cotton blend,denim",vneck,"weekend,day tonight",,,,,,regular,,"boho,classic,modern,casual",,,light blue,
52,01DPESK4FY8GNM431AE3FPSAFY,"skirt,bottom",pencil,,"black,white",yes,,,fitted tailored,woman,,,knee length,synthetic,,"day tonight,work",plaid,,,,,regular,,"classic,modern,business casual",,,,
53,01DPESWQ02NWKBDKA07T5ATPXV,"one piece,dress",Aline,wrap,black,no,,,semifitted,woman,,,"short above the knee,sleeveless","linen blend,cotton blend",halter,"day tonight,weekend",,,,,,regular,,"classic,casual",,,,
54,01DPET2NWSA221STZF740BZ9SW,top,,,,,,,,,,,,,,,,,,,,,,,,,,
55,01DPETFFTSDHQ66H03T0F58NX7,"top,camisole",,,"beige,white,black",no,,,fitted tailored,woman,,,"sleeveless,mid length at hip",pure cotton,scoop neck,"weekend,day tonight",,,,,,regular,,"casual,classic,athleisure",,,,
56,01DPETNS8DB4MAR29ER6ESA7XA,"bottom,skirt",pleated,back zip,"burgundy,black",,,,semifitted,woman,,,midi mid calf,faux leather,,"day tonight,work",,,,,,regular,,"modern,classic,business casual",,,,
57,01DPETPH8KWSV94YXR9GAWAF16,"one piece,dress",Aline,back zip,"gold,orange,pink",yes,,,semifitted,woman,,,"sleeveless,short above the knee","synthetic,linen blend",crew neck,"work,day tonight",,,,,,regular,,"classic,business casual",,,,
58,01DPETRNK95D68PFASVNTWZDHC,"bottom,skirt",pencil,back zip,"navy,black",yes,,,fitted tailored,woman,,,knee length,"wool blend,synthetic",,"day tonight,work",,,,,,regular,,"business casual,classic",,,,
59,01DPGS2915ZZY5BGMZPVB0Z3AN,"pullover,sweater",,,pink,yes,,,relaxed,woman,,,"long sleeve,mid length at hip",pure cashmere,high neck,"day tonight,work,weekend",,,,,,regular,,"androgynous,casual,modern,classic",,,,
60,01DPGSFJK363CXPQDA2NZ7KKH1,"bottom,skirt",pencil,side zip,black,yes,,,fitted tailored,woman,,,midi mid calf,"elastane,nylon",,"weekend,work,day tonight",,,,,,regular,,"business casual,classic,modern",,,,
61,01DPGSTG4M1RXB26QMMN0MPPB8,"pullover,sweater",,,"orange,navy,black,beige,green,yellow,purple,teal,pink,white",yes,,,"semifitted,relaxed",woman,,,"mid length at hip,long sleeve","wool blend,nylon,spandex,synthetic",mock neck,"night out,work,weekend,day tonight",,,,,,regular,,"casual,classic,androgynous,modern,business casual",,,,
